ContractAddress,TokenName,TokenSymbol,holder count,transfer count,# of times appears in list,notes
0xc8b5392913cab7f565f4987a050dbd1a8b2f8576,Just Bitcoin,JBC,2,6,2,
0xca58165e323ca3c4541718d43e3d8a98e9b29da9,yearn.finance,YFI,2,8,2,
0xca59ea94d231a167a61a193b2b7dfe22d226c2fc,DogeDeFI.Finance,DGFI,2,7,2,
0xcbed554ad21b9dce19bda9a57c3b62c9d3ff72e2,Curve.fi yDAI/yUSDC/yUSDT/yTUSD,yDAI+yUSDC+yUSDT+yTUSD,2,14,2,
0xccf7f60b4e57aa6a20eda0f77cd3fa07b2fbb548,Numela,NUM,2,17,2,
0xd1ef0930887653416041af4b11fedac05db6b80b,virgins.vc,VIRGINS,2,7,2,
0xd201a80422f515efe050e0b8907b06c8b913901d,RPKToken,rpk,2,7,2,
0xd328192ae21970467eff7b078278c5ee161c4a0c,EVT,EVT,2,8,2,
0xd370e93c2e30b5ff6f6987733cfc3418661e8e7d,ANC Token,ANT,2,12,2,
0xd4f88313ab142f5626a9a19c88e3bb41e85d5a1f,Make BTC Great Again,MBGA,2,8,2,
0xd67b92809ecdc088e0706a092ce2b06f3871fe17,Defiearn,DFE,2,16,2,
0xd709b6d8cc51655a28ac99e88b328c4d678a7c6e,Charging pile,CPT,2,6,2,
0xd74b4e174bf8ff973c70026ad3488e6b565de4aa,DEXBOT,DEXBOT,2,6,2,
0xdbdb84537197ca42302ff1795ac200a9e5e5f740,FIFAToken,FiFA,2,6,2,
0xe02e4c4cb716e64ea43de2a0b9571d17e8627914,upbots.net,UBXT,2,8,2,
0xe24f02a21990ce92233af9420a3741ed39079127,StrawberryFarm,SBYF,2,6,2,
0xe5ba0689485b4785f4e8859ee7e1a65b96d6e7b4,Ponzi Scheme @ Ponzi.Finance,$PONZI,2,5,2,
0xe656010182282200aee86e47a8528bd1c8e87888,HYGH,HYGH,2,4,2,
0xe77cb2298ac6c1c4715f94a68c5c83c0982bb3a2,SoftLink,SLINK,2,10,2,
0xe853f71996f4bae84da2f1c9218ddcf5b486dacc,Behance Token,BETN,2,35,3,
0xe99c56dff78637185283cb7b9ab7d2a7295d4a36,SCHAIN TOKEN,SCHA,2,10,2,
0xed3c90c5f02d7286eb0106bed0390a3d3dc0e77c,Binttrade,BINT,2,11,2,
0xef822ad8a31c19bad185515694b58318bbab6116,allin,ALLIN,2,16,2,
0xf0cf5224c61a50a425bcabfb62aafe322f59f36c,Arty snar,ASNA,2,5,2,
0xf11142c472bbe85d18601e23e0569de557dcee45,LINK,LINK,2,6,2,
0xf1c06a1940fdd8fb077eb41b1b6c678340c70022,NEO,NEO,2,7,2,
0xf2fdd3274724751be5b31383c8c5a419b09c9eb9,yCOW,YCOW,2,10,2,
0xf3a0983b9d6acd8b7341468a40a195bfd9385fc2,skb-coin.jp,SKB,2,17,2,
0xf3eb76985c4487e886ad09b488d21b7cf3c70a85,WinPlay.App,WNRZ,2,6,2,
0xf53c22eec1297f0af9d4793f9985ad1b8ac2f317,U.S Federal Reserve Digital Asset Token,FED,2,7,2,
0xf567464fd5e4543c167ae6d3ff61a75ade0ab798,ConnectUS,CENN,2,10,2,
0xf62a21f457ea3d6d365bcf0c9e75d870430ca579,baby,BABY,2,4,2,
0xf665a5fa1af593c5600442cb854eb2c67bd59c29,BlackHoleSwapToken,BHST,2,8,2,
0xf6ac818a656fc869874c554b0e8ea6a21da94e34,monkey king coin,mkc,2,6,2,
0xf74d33050618fd5c4561ad78f87f0e891da07d9a,CAA.finance,CAA,2,0,2,
0xf839c271722c2ceedb2a65883a810e90b537404d,yearn.finance,YFI,2,7,2,
0xf96a1c419deae663c533eddabc7a4a7dce096fc2,Aavegotchi GHST Token,GHST,2,18,2,
0xf9ffb1062b6cf037e840119d354546e8e4aee106,Thor Oracle Network,THO,2,7,2,
0xfa5f6b9e1aaee0d8344db0dabe9b4a9c0c45ebc7,StaFI_Protocol,FIS,2,17,2,
0xfa96a422c59e5bc44ba24f10fc3ad0c6e4fd12a2,Ponzi Scheme @ Ponzi.Finance,PONZI.v2,2,9,2,
0xfbd88d0d362e35d5278fc14b477b6853559b9ffd,momo,MOMO,2,6,2,
0x012f90820186a780b725b384eb5c8c17aeb6bfd1,GoldSwap,GOLD,3,7,2,
0x02b6449d473f107a6205cadfe54baecd853fad59,Ulrica,ULA,3,15,2,
0x0425c5b3145658079fde7b7b87c3bfa981b6198d,Tokens Jam,TJM,3,10,2,
0x0428328f26e97118b03535695c61474b604273d6,definer.org,FIN,3,14,2,
0x05017fef61e94db07926259491717e75c0cdb599,Next Oracle Protocol,NORP,3,12,2,
0x0771a42bbb1957dd35ede2f7fe18f0192feeaad9,LUKSO,LYXe,3,8,2,
0x081d9a48e3c238cc30b60c5274697dac2040063c,TigerSwap Protocol,TSP,3,33,2,
0x08d4cceecd7f3e5f0fa3a69cd98e327714f60579,Hotcoin Global,HCG,3,9,2,
0x0a179fb56486cd285f8e83e77014ca979bf06fde,PDEP.finance,PDEP,3,6,1,
0x0acfd8ea73eae2b30cd505ca1f46f9f58a27b154,CCAA.finance,CCAA,3,6,1,
0x0c302caa1e99a7efa8a1aff6cc918a2bc7df808b,UniswapV2,UNÄ°V2,3,8,2,
0x0c461948bc7fcffce33b73b8813dad060666917e,Easy Travel chain,Eton,3,14,2,
0x0c81b02f2a5cd8689536d56f45da5ec41293ce3e,Diesel,DSL,3,15,2,
0x0caf75cadf8264b2524447a8f3b24e7bf82450fb,Colendi Token,COLENDI,3,8,2,
0x0cc4682b1465bd3bf3b9b13dbd310a1f37c7500d,StaFi Protocol,FIS,3,13,2,
0x0d7b87acb7332aad166cc7c1c864e8a85a783884,XGGD.finance,XGGD,3,6,1,
0x0e7da4f96cdb84b3501c3adcdc82b0b4b4af6251,Wisdom Chain,WDC,3,96,2,
0x11402a7183ab76e8770159c353ae5ef4471ccb21,DontBuyFive,DontBuyFive,3,4,1,
0x11974789c1ae7796d44726d9091ac25fbb0c0865,100X CASH,100X,3,24,2,
0x149fb6e050050aefeb4c92906c09125fd67ae809,XMM.finance,XMM,3,24,2,
0x1519a46c17eb70199037f0acf75a27ce8c6e59de,EPE.finance,EPE,3,6,1,
0x15ed7ca15d1740f24e7eb766e464fa5df6b371ea,DontBuyShitCoin,DontBuyShitCoin,3,4,1,
0x1902895b6d8751947633977aaf01422a75f4446e,Transformer,TSF,3,21,2,
0x192c2d3a3f5c535784ef5691a725d13c01603403,Wing.Finance,WING,3,6,2,
0x19c282134e3955d1db1551b303521957f01d71b5,DontBuy14,DontBuy14,3,4,1,
0x1a941be1b8fbb980521027dd9a1d81e2477d7985,flamingo.finance,FLM,3,14,2,
0x1c44799e3d244f3042b2cb0775201044fffebcc5,XGFQ.finance,XGFQ,3,6,1,
0x1e807a4bb462ca081540b98469851a842bc6ebdb,BUtTcoinzz,BTzz,3,8,2,
0x1eb988824ff17b13d863e452cdf946973825ed9e,DeFinitely DAO Token,DDT,3,32,2,
0x1f43b8150a9e59db348afb813110afab5c71ee01,ygemstone,YGEM,3,16,2,
0x20a95c898f039e305b95bc026b0b0864d2a634c0,Etherisc,ETHR,3,20,2,
0x20e13a21f2b8e2f802d4aa3c483e085fabab7f81,Raytheon Network,RTN,3,12,2,
0x21d59e3447814213842827705b7d2ef79f25286f,LUNA PROTOCOL,LUN,3,13,2,
0x21dd133d0bbb9d3f8195653ef7481794b7f74da5,good girl,gg,3,6,2,
0x23f1415241672ced42e0a34e47cc210db0bf69aa,ali.finance,ALI,3,7,2,
0x259d2d29bc74b61a8ff8cc3be038c486f19c7406,IMSWallet,IMS,3,12,2,
0x26227d4534af4f04ef2fb8246f682f4c89ce6507,geyser.gemini.com,GMN,3,9,2,
0x27496b898c449dc6c218574143c5be3c305f05bf,Bella @ Bella.Fi,BEL,3,6,2,
0x279966d675cf90583ba842cec1ac35c329eed9cb,Ponzi Scheme @ Ponzi.Finance,PONZIv2,3,10,2,
0x29b2750b095152008c05edb7c801a46654c2fb4d,Hedget,HGET,3,56,4,
0x29fea59e37017e3db285fa35e4ed4173dd08b2dd,HYVE.works,HYVE,3,10,2,
0x2aed2307765e2ec509cf88d7a4f2e987ad8fafde,42-coin,42,3,37,2,
0x2bb8359cd1e27c7cf23d5da092d6e3653b6e9ea9,BANG,BANG,3,9,2,
0x2d0917480d7b52d15228ceddf42944743f1c5a73,Aponchain,APON,3,53,2,
0x2d0ce2102b5bd05b31d1d7c7ef432a8c4902206b,Oin Finance,OIN,3,9,2,
0x2d2b7a03240d6d1d87e8796494c656f9b2918155,GFinance,GFI,3,9,2,
0x2e46d03f6fc85cd5ede3e2f170c931559954d59b,growthicc Token,THICC,3,26,3,
0x3241c8ed1ada4afc665bb71648fe0d59355b621c,Yam Swap Token,YAMx,3,10,2,
0x33193c4375144525386db8decf9e7b5b1cabc55e,Dante Network,DANTE,3,17,2,
0x33779cedab1d0dd98cc0e08966c8b7f61745506b,Xiaoyu,QXY,3,7,2,
0x34cf6994968d733519b5052dbd13a41015136463,B CSS Token,BCSS,3,10,2,
0x354311819dfcbc55caf3ef033f5b59061e0097e9,LUKSO,LYXE,3,6,2,
0x365b05f17b99559c86405bfc3297583ae971253e,COIL Spring,COIL,3,8,2,
0x377dcb470b5fee390afca91805782e7b2eb80ac2,Pretzel,PRTZL,3,13,2,
0x380675e4d4d81c81ae3f471326f8eef2178222a9,Cross.Finance,CYF,3,7,2,
0x38a767826a30e048aed98be9f5c78d9e647b0b71,DontBuyTwo,DontBuyTwo,3,4,1,
0x38cc5dfaf975b530bc421783ffbed361a9f3523d,LGCY.NETWORK,LGCY,3,11,2,
0x397bcccb808cbe218e49e89a1c837653e8e9387d,Yfiii Finance,Yfiii,3,9,2,
0x39a0abcf695064f3490955eace77d60989c0edbf,LDF.finance,LDF,3,6,1,
0x3ae4c26a2c8544eaa7d6c9d7bead903d00fac672,LDFC.finance,LDFC,3,6,1,
0x3bf53b4d81b34986f022d72d74e33c334683698a,Yearn anti finance,YFX,3,16,2,
0x3c2b3d4289ac2d03fbc9b7f4a5e3c4935e4f0615,$NewBASED,$nBASED,3,11,2,
0x3c6b20d6d8137443f1cb3f1aff33fc9df5abbb90,DontBuyThree,DontBuyThree,3,4,1,
0x3cceb7eb568d6622c9deae85e24b661fc9e043c3,YBDAO,YBREE,3,22,8,
0x3d43f0d6caf0731b6e51da32fa11119bcab09012,CXE.finance,CXE,3,6,1,
0x3d5bfb6762ca97413d32fe6a38e9c87bf24db56a,Skale Network,SKL,3,11,2,
0x3d8101315f992f92f4cbe7be08e4e9e05595ba99,OPT,OPT,3,13,2,
0x3dafcaceb79eaa6fc36342eb30762389151ced1b,PDFC.finance,PDFC,3,6,1,
0x3e606c6dea11855627d5e69a584714ee7587bf3f,PDF.finance,PDF,3,6,1,
